RegNo,Manufacturer,CarModel,YearOfPurchase
2T1BU4EE5CC732434,Isuzu,Pontiac,2006
2C3CCAJG7EH750072,Audi,Mercury,2006
1FTEW1C83AF660959,Audi,Nissan,2009
1G4GC5G35FF272466,Honda,Dodge,2009
JN8AS5MT8AW256857,Eagle,Dodge,1996
JM1NC2JF5C0131845,Alfa Romeo,Pontiac,1994
3D7LT2ET5AG146173,Geo,Audi,1995
1N6AA0EJXFN412213,Chevrolet,Infiniti,2006
WBAVT73538F808670,Mercury,Mitsubishi,1993
WBAGN83413D475096,Bentley,Saturn,2009
2C3CCARG5FH988086,Ford,Pontiac,1995
WA1VMBFPXEA578399,Toyota,Dodge,1996
2C3CA9CT1AH735222,Land Rover,Lexus,1998
WBAKF3C56BE390170,Mitsubishi,Chevrolet,1995
JN1AZ4EHXFM552965,Jaguar,Toyota,2009
1FTNF1E89AK824073,Chevrolet,Toyota,2010
1GYS3FEJ8DR341517,Suzuki,Ford,2006
1FTWF3A53AE815282,Pontiac,Acura,1986
WBALZ3C52CD078074,Mercury,GMC,1989
JTHFF2C26E2682250,Volkswagen,Mazda,2006
1FTMF1EW9AF082325,Toyota,Saturn,1997
3GYFNFEY1AS033087,Volvo,Ford,1998
1GYS4HEFXER177175,Nissan,Mercury,2012
1G4GE5E32CF156909,Nissan,McLaren,2010
WAUXG74FX9N758068,Toyota,Mercedes-Benz,1992
WAUDH98E38A472288,Honda,Chevrolet,2007
1FBSS3BL1AD549665,Dodge,Toyota,1995
2C3CDXFG5DH426688,Scion,Suzuki,2008
WBADR63472G510376,GMC,Buick,2001
WBABN53411J866823,Lexus,Acura,2009
WBADT53493C362316,Pontiac,Volkswagen,2005
4T3BA3BB4EU168748,Isuzu,BMW,1999
NM0AE8F77F1147909,Land Rover,Bentley,2002
1GYFK46818R372991,Geo,Buick,1996
WAUJC68E62A654784,Honda,GMC,2009
1GYFC56279R132778,Buick,Chevrolet,1998
1G6DE8E51D0505592,Mercury,Hyundai,1991
WAUHGBFC5CN472114,Toyota,Ford,2000
1GD01ZCG1DF469347,Plymouth,Mazda,1994
WAUPL68E45A118169,Mitsubishi,Saab,2010
SCFEDCAD9BG671899,BMW,Dodge,2008
SALWR2TF3FA144701,Acura,Ford,2001
1N6AF0KY6EN682234,Toyota,Pontiac,2011
WAUKG78E56A208985,Nissan,Toyota,2011
5N1AA0ND1FN186748,Volkswagen,Mercedes-Benz,1983
JH4DC53836S005194,Dodge,Mazda,2008
SALCP2BG5FH847582,BMW,Oldsmobile,2005
JH4DC43501S014525,Lamborghini,Porsche,2004
JN1CV6APXBM277153,Hyundai,Suzuki,1992
YV4952BZXE1545749,Kia,Jaguar,2003
WP0AA2A92DS137297,Pontiac,BMW,1969
1N4AB7AP8EN505903,Suzuki,Honda,1990
5UXFG8C56EL483543,Studebaker,Acura,1961
WBAPL3C5XAA168560,Buick,Mazda,1987
WBSBR934X1E201029,Saab,Audi,2011
WAUKG74F56N522711,Lincoln,Mercury,2001
1GYS4BKJ7FR560692,Chevrolet,Toyota,2005
WBASN2C52DC452689,Ford,Suzuki,2000
WA1YD54B93N313128,Volkswagen,Infiniti,1997
SCBLC47J79C460037,Lincoln,Pontiac,2006
WBANE53566C571153,Buick,Lexus,1985
SALAC2D41CA579866,Porsche,Mazda,1996
WAUFFAFL8CN970411,GMC,GMC,1994
WAULT68E25A449363,Nissan,Infiniti,2012
1C6RD6HT0CS362424,Pontiac,Dodge,1985
WA1YD64BX3N822974,Jaguar,Nissan,2006
1FTWW3A56AE077025,Land Rover,Geo,2006
JN1CV6EK3AM964164,Maserati,Pontiac,1990
WBXPA93474W490876,Dodge,Nissan,1999
3C4PDCBB3DT698017,Buick,Chevrolet,1993
3VW467AT2DM718313,Toyota,Mitsubishi,2012
1G6KD57YX7U461217,Dodge,Oldsmobile,2002
WAUKH78E86A231335,Ford,BMW,1966
WAUEL74FX6N675660,Mitsubishi,Nissan,1994
WAUVC68E62A682134,Nissan,Cadillac,2002
1FTSX2A59AE088073,Mercedes-Benz,Ford,2009
2T1KU4EE6BC017449,Ford,Isuzu,1992
1G6DW6ED9B0616588,Chevrolet,Ford,2007
1GYFK53269R927814,Dodge,Nissan,2010
1G4HE57Y66U942399,Ram,Plymouth,2011
JH4CW2H54DC916531,Infiniti,Mercedes-Benz,2012
5GAEV23798J885950,Acura,Aston Martin,2002
3GYFNBEY0AS977746,Pontiac,Mazda,2009
WBANE53537C554862,Chevrolet,Pontiac,2000
SCBET9ZA9FC742789,Honda,Ford,2005
WBAYB6C56ED900017,Rolls-Royce,Toyota,2010
WAUDF48H97A360449,Chevrolet,Dodge,2001
WVGAV3AX7EW604437,Volvo,Chrysler,2011
1G6DN57U070538512,Volkswagen,Acura,2007
1N6AF0LX3EN185440,Bentley,Ford,2008
WA1LMBFE8FD181523,Pontiac,Dodge,2002
JH4DC53042C698114,Nissan,Scion,1996
1G4HE5EM5AU771041,Audi,Mitsubishi,1998
SCBCP73W08C100128,Corbin,Mazda,2004
1G6DP5EV7A0262004,Porsche,Jeep,1998
1G6DM1ED1B0648671,Toyota,Isuzu,2004
SAJWJ0FF4F8468862,GMC,Toyota,2010
1GD311CGXFF138901,Mitsubishi,Lincoln,1999
SALGR2VF3EA565978,Acura,Land Rover,2001
WAUDH48H38K675656,Mitsubishi,Ford,1989
KNDJT2A14A7453836,Lincoln,Chevrolet,2012
WA1CMAFE5CD384195,Suzuki,Volkswagen,1985
WBADN53483G285568,Isuzu,Saturn,1994
WAUJC58E94A916052,Buick,Lexus,1988
5N1BA0ND3FN022308,Chevrolet,Audi,2002
2C4RRGAG3DR621875,Dodge,Mercedes-Benz,2011
4A4JM2AS7BE789539,Acura,BMW,2002
WBA3B1G57EN977870,Lincoln,Ford,1997
1GD11XEG3FF993804,Toyota,Nissan,1995
19XFA1F31AE130179,Ford,Audi,2000
2LMHJ5AT6CB563899,GMC,GMC,1997
1YVHZ8BAXA5561544,Audi,Chrysler,1985
ZFBCFADHXFZ905502,Honda,Mazda,1986
JN8AZ2KR4AT744867,Ford,Jeep,2009
JN8AZ2NC9D9420418,Chevrolet,Dodge,1997
WBA3B3C55EJ094911,Hyundai,Toyota,2002
WAUKFBFL3BN435053,Lexus,Dodge,2002
3D73Y4CL3AG211649,Toyota,Honda,1998
JTDZN3EU1D3743194,Ferrari,Ford,2006
1N6AF0KY9EN297752,Lincoln,BMW,2011
WBAXG5C5XCD758386,Audi,GMC,2005
SALAB2D48CA031513,Nissan,Lotus,2011
JHMFA3F26BS271927,Mercedes-Benz,Cadillac,2007
WVWAB7AJXDW364668,Volkswagen,Toyota,1993
1G6AC5SX0F0197928,Lexus,Ford,1995
WA1DGAFP5FA378125,Hyundai,Subaru,2008
3VW1K7AJ0FM139790,Hummer,Chrysler,2009
1C4RDHAG4DC629545,Mitsubishi,GMC,1994
1C4AJWAG5CL654026,Mercury,Chevrolet,1992
3GYFNCE38FS427485,Lincoln,Mitsubishi,2002
1G4GD5GR8CF053885,Dodge,Cadillac,1996
WAUSH94F27N457617,Chevrolet,Lexus,2012
3VW1K7AJ1CM811755,Toyota,Ford,2012
WAUDG78E06A886245,Bentley,Mazda,2012
1GYS4AEF2BR280643,Ford,Kia,1999
3C4PDCDG6DT154524,Mercedes-Benz,Toyota,2005
WA1DGBFE9DD107052,GMC,Ford,1996
JN1BV7AP0FM812840,Ram,Ford,2012
WAUKD78PX9A935263,Infiniti,GMC,2012
WBA3R5C57FF418274,GMC,Chevrolet,2011
JH4CL96818C466342,Ford,Subaru,2010
1G6DF8EG6A0379045,Mitsubishi,Acura,1984
JTHBL1EF7D5323102,Mazda,Nissan,2008
WBAKF3C58CJ145038,Hyundai,Mercedes-Benz,2010
JTJBC1BA0C2758907,Bentley,Ford,2012
WBABV134X5J197899,Subaru,Buick,1986
ZHWGU6BZ7CL103265,Ford,Mercedes-Benz,2010
SAJWJ0FF9F8715891,Pontiac,Chevrolet,1989
1C4NJCBAXED681522,Ford,Infiniti,2002
5TDBY5G14DS109738,Aston Martin,Toyota,2010
WAUKD78P16A822555,Audi,Subaru,1992
5N1AN0NWXDN056809,Nissan,Nissan,1998
1FTFW1E80AK871366,Ford,Maserati,1997
1G6AC1RX4F0075314,Subaru,Chrysler,2010
WBAUL7C5XAV194370,Mercedes-Benz,Ford,2004
WAUBF48HX7K940312,Lincoln,Mercedes-Benz,1985
YV140MEA3F1223155,Mitsubishi,Buick,1990
1FTEW1E80AF608184,Ford,Volkswagen,2002
SAJWA1CB0CL898985,Mercedes-Benz,Volkswagen,1988
1G4HC5EM5BU641848,Chevrolet,Hyundai,2003
WBABN334X3J222051,BMW,GMC,2012
SCFBF03B68G357112,Lotus,GMC,2009
2LMHJ5AT4FB113009,Dodge,Lotus,2009
1C3CDZBG8CN857856,Buick,Mazda,1986
WAUMGAFL0DA190853,Bentley,Mitsubishi,2011
1GT020CG4EF875489,BMW,Scion,2004
WAUVC58E35A615974,GMC,GMC,2000
W04G15GV0B1838644,Infiniti,GMC,2011
19UUA569X3A893358,Suzuki,Toyota,2008
SCBZK25E41C021177,Chevrolet,Lexus,2005
1G6AJ5SX9F0371856,Hummer,Mercedes-Benz,1994
19UUA9E56DA364092,Cadillac,Jeep,1993
JM1DE1HYXB0119857,Ford,Honda,2006
1GKS1HE09BR388913,Chevrolet,Kia,1963
SCBLF44J28C078587,Toyota,Kia,2012
WA1DGAFE4CD194173,Honda,Honda,2000
3C3CFFJH2DT697543,Suzuki,Pontiac,1994
JN8AZ2KR1CT443878,Chevrolet,Audi,2006
3GYT4LEFXCG540661,Dodge,Jeep,2004
WAUEF78E28A047403,Acura,BMW,1992
SCFEBBBK4DG694815,Dodge,Acura,2010
WBAUN13578V601899,Nissan,Lincoln,2007
5N1CR2MN9EC662987,GMC,Buick,2012
3VW8S7AT9FM510039,Mitsubishi,Dodge,1994
1G6DL1E39D0673380,Chevrolet,Chrysler,2003
WDDGF4HB5ER695837,Land Rover,Volkswagen,2009
WAUHE78P29A519876,Ford,Kia,2005
WAUDF98E88A879187,Kia,Ford,2011
1N6AA0ECXEN669193,Saturn,Hyundai,2006
SCBGH3ZA1FC034060,Geo,Toyota,1994
3N1AB6AP9BL924961,Mazda,Chevrolet,2010
WAUAFAFH5DN350364,Chevrolet,Nissan,1994
TRUVD38J191836664,Mercedes-Benz,Lexus,1987
1G6DK8E31D0796554,Chevrolet,Audi,1992
1N6AA0CJ1DN258894,Hummer,Jaguar,1999
JTDKN3DU9A0164048,Ford,Volvo,2002
4USBT53535L897092,Ferrari,Toyota,2012
5XYKT3A18DG658481,Mitsubishi,Honda,1994
KMHHU6KJ6FU634460,Lincoln,Audi,2009
3LNHL2GC9CR106999,Bentley,Dodge,2012
JM1CR2W32A0383344,Plymouth,Dodge,1996
WAUSH94F67N483735,Chrysler,Volkswagen,2004
WDDHF5KB0FB751650,Cadillac,Toyota,2009
SCBFC7ZA3EC508350,Ford,BMW,2000
1G6DL8EGXA0517615,Toyota,Cadillac,1998
SCFEDEAN6CG815253,Ford,Citroën,2006
WAUSH74F67N402432,Chevrolet,Lexus,1997
WBABS33463J304304,Mitsubishi,Audi,1997
WAUGFAFR0EA575433,Pontiac,Ford,1986
WAU3FAFR8DA661179,Mercedes-Benz,Chevrolet,1992
1G4HJ5EM9AU155032,Chevrolet,BMW,1973
WAUJF98K99N289924,Mercedes-Benz,Oldsmobile,1999
1G6AV5S86E0232618,Mitsubishi,Infiniti,1984
WAURFAFR7AA833126,Suzuki,Nissan,2009
1FAHP3EN5BW548795,Dodge,Honda,2001
WA1MYAFE0AD140928,BMW,Lincoln,2006
SCFEDCAD7BG912472,Nissan,Maybach,2006
JTDZN3EU6FJ223278,Ford,Mitsubishi,2005
1G6DX67D770572320,Chevrolet,Audi,2001
1FTNF1E86AK192066,Land Rover,Lexus,1999
1G4GA5GR5CF200477,Hummer,Volvo,2010
SALWG2VF7FA748142,Buick,Ford,1979
WAULT58E55A450842,GMC,GMC,2001
WA1AY94L49D599443,Volkswagen,Plymouth,2001
5TFCW5F16CX232705,Acura,Saturn,2009
1N4AA5AP4BC787634,Mercury,Buick,2002
1G6DV8EPXE0322985,Lexus,Ford,2005
3D7JV1EP8BG434592,Dodge,Jaguar,1998
WAUMFBFL1DN012113,Ford,Aston Martin,2008
1N6AF0KX0FN483916,Buick,Oldsmobile,1991
1FBNE3BL1AD507663,Pontiac,Geo,2008
WBANA73515B972251,Mitsubishi,Chevrolet,1995
1FTEW1C81AF917262,Audi,Mitsubishi,1992
1GYS4JEF5DR490348,Mercedes-Benz,Isuzu,1998
WBA3N5C52EF054520,Dodge,Acura,2003
WAUAF78E37A631855,Volkswagen,Ford,2011
5XYKT3A18BG190328,Aptera,Audi,2009
WAUJC58E05A330485,Chrysler,Chevrolet,2000
WP0AA2A99CS805594,BMW,Pontiac,1995
WAU4GAFB7AN111691,Chevrolet,Ford,1997
SCBBP93W49C310353,Ford,Ford,1984
WBA3D3C50EF606250,Chevrolet,Honda,2005
WBA6A0C59DD381048,Acura,Mercedes-Benz,1993
WAU3FAFR1AA865656,Chevrolet,Mercedes-Benz,1997
WAUAF78E86A692780,Ford,Mazda,2004
1YVHZ8BH5A5138500,Mazda,Mercedes-Benz,1993
WBAAW334X1E369663,Buick,Honda,2006
5N1AT2MK9FC292513,Audi,Lexus,2011
JN1CV6EK6DM666230,GMC,Volvo,1992
3VWA17AU5FM809377,Isuzu,Pontiac,2000
3VW1K7AJ1DM895187,Honda,Nissan,2011
3C63DPNL6CG613471,Dodge,Chevrolet,1996
1FADP5CU0FL610700,Mazda,Audi,2004
2C3CDZBT1FH778734,Subaru,Kia,1986
5UXZV4C52DL831803,Jeep,Cadillac,2011
1D7RE5GK4AS692496,Buick,Dodge,1997
3FADP0L34AR524178,Mercury,Chevrolet,2005
WAUDG74F35N722428,Honda,Aptera,2004
WBADW3C53CE751400,Mercedes-Benz,GMC,2006
JN8AF5MR0DT050172,Nissan,Chevrolet,2006
KL4CJESB2FB833263,Suzuki,Hummer,1993
SALAG2D43DA435273,GMC,Mitsubishi,2005
WBA3B3C55FF202822,Lexus,Smart,1997
3VW8S7AT5FM070563,Pontiac,Chevrolet,1968
WDCYC3HF2CX137550,Ford,Kia,1993
WAUCVAFRXBA370960,Mercury,GMC,1985
WBA3A5G52CN955394,Ford,Cadillac,1993
3D7TP2CT7AG210995,Ford,Suzuki,2001
3D4PH3FG6BT187539,Subaru,Chevrolet,2005
1D7RV1CT5BS292956,BMW,Ford,2003
WBAYE0C54ED713427,Saturn,Dodge,2008
19UYA42531A653595,Dodge,Buick,1999
WBA5M4C57FD273556,Ford,Dodge,2007
1G6YV36A275197713,Ford,Volvo,1986
1GYS4HEF5ER382290,Mitsubishi,Shelby,1994
5UMCN93422L859170,Chevrolet,Porsche,1999
WBAVA37577N651738,Mazda,Rolls-Royce,1995
1FTWW3B57AE868498,Suzuki,Suzuki,2011
JN1AJ0HP2BM081164,Scion,Volkswagen,2010
WAUHE78PX9A907373,Mazda,Dodge,2007
JM1DE1KY6D0037801,Nissan,Chevrolet,2010
5YMGZ0C58AL382698,Plymouth,Nissan,1976
1G6AB5SX2F0493052,Subaru,Mazda,1992
WAUML64B42N272688,GMC,Chevrolet,1994
1FMCU4K3XAK940448,GMC,Honda,2006
WAUEF98E37A092585,Subaru,Acura,2000
KNALN4D79F5560265,Volkswagen,Cadillac,2009
5GNRNJEE7A8618633,Lexus,Nissan,2004
JTDKDTB31C1399330,Jeep,Infiniti,2011
5YMGZ0C58CL030658,BMW,Toyota,2000
WBA3C3C57EF013973,Infiniti,Hyundai,2010
WBANV1C58AB156259,Chevrolet,Jeep,2001
3C4PDCBB2FT342080,GMC,Buick,2006
1GYS3HEF4ER999067,Maserati,Ford,1991
1G6DV5EP5B0760372,BMW,Ford,1958
1FTKR1AD6BP819480,Mazda,Mercedes-Benz,1991
1G4HP52K23U402122,Subaru,Bentley,2001
JN1AY1AR6CM915774,Volvo,Mazda,1995
WBAKF3C55CE496272,Ford,Dodge,2011
1GYS4JKJ8FR998440,Kia,Oldsmobile,2009
WBAEK73424B117982,Buick,Chevrolet,1991
3VW4S7AT3EM365917,Toyota,Suzuki,2003
1G6KF57934U290759,Lamborghini,Volkswagen,1986
1G6DE5E5XD0408549,Mercedes-Benz,Ram,2012
2G4GP5EX2E9970258,Ford,Chrysler,2006
JN1BJ0HP7FM460218,Ford,Hyundai,2005
1C4SDHCT0FC334814,Ferrari,Pontiac,2010
WBAEH73485B973268,Mitsubishi,Audi,2005
WUARL48H77K688984,Chevrolet,Mazda,1999
WBAEU33404P334551,Audi,Kia,1992
WAUDL94F56N576378,Aston Martin,GMC,2012
1G6AY5S33E0816163,Plymouth,Pontiac,1993
WBAUL7C52AV419977,Suzuki,Hyundai,1996
1G4CU541544618894,Chevrolet,Jaguar,1995
5GADT13S442035115,Nissan,Ford,2000
JTDJTUD3XED965696,Saturn,Subaru,2003
WBAYF4C55ED169900,Ford,Audi,2004
1G6AH5SX2E0869326,GMC,Audi,2006
1G6AM5SXXE0976538,Oldsmobile,Chevrolet,1997
WAUSFAFL8BA238767,Mazda,Land Rover,2010
WAUGN74F47N150808,Mercury,Mercedes-Benz,1970
WVGAV7AX4CW533749,Dodge,Chevrolet,2010
WAUKGAFBXBN651285,Saab,Dodge,2008
3VW517AT7EM132551,Honda,Mercedes-Benz,2008
5N1AT2MK0FC453119,Toyota,Pontiac,2012
3C6JD7DP6CG808059,Dodge,Mercury,1997
WA1VMBFE0BD581885,Ford,BMW,1998
1LNHL9DR6CG529466,Volkswagen,Volkswagen,2010
2C3CDZBT3FH246160,Chevrolet,Toyota,1985
YV4612HK0F1073779,Chevrolet,Mazda,1978
1N6AA0EC0FN979788,BMW,Honda,2000
SAJWA4FB7CL438655,Volkswagen,Dodge,2010
KL4CJBSB1EB027976,Lincoln,Maserati,1985
KNAFK4A61F5730443,Audi,Nissan,2004
WAUHF98P28A553856,Dodge,Hyundai,1995
1C4RDJEG4FC825618,GMC,Toyota,1995
1G4HA5EM4AU443136,Land Rover,Mercedes-Benz,1997
1GD021EG5FZ568413,Chevrolet,Chrysler,2000
WBA3B1C52FP178381,GMC,GMC,2000
5GAKRBKD5EJ726434,GMC,Ford,1992
WVGAV3AX8DW624937,Mercury,Honda,1993
WAUDN94F98N482386,Mitsubishi,Ford,1999
2G4WE587X81009150,Chevrolet,Saab,2003
WVGAV3AX8EW170755,Volvo,GMC,1995
WAUAFAFL5BN863292,Kia,Chevrolet,2011
JN8AZ1MU4DW494464,Pontiac,Chevrolet,1984
1G6AZ5S32E0300566,Mitsubishi,GMC,2001
JN1CV6EK2CM944295,GMC,GMC,1992
WA1KK98R09A988196,Holden,Acura,1997
3N1CN7AP7EK104832,BMW,Ford,2005
WAUDK78T78A050156,Pontiac,Kia,2008
WAUJC58E55A831470,Volkswagen,Dodge,1984
WA1BY74L79D930427,Isuzu,Land Rover,1999
5XXGM4A71DG676032,Pontiac,Land Rover,1973
1GKS1AE05CR834662,Ford,Mercury,1986
YV1982BW8A1941571,Ford,Cadillac,2009
WBAUP9C51DV438962,Porsche,Oldsmobile,2005
5UXZV8C52CL298714,Chevrolet,Ford,2002
SCBZU25E41C466366,Ford,Mercedes-Benz,2003
WAUGN94FX7N263724,Mazda,Mercury,2001
1C3BC8EG0BN972096,Volkswagen,Pontiac,1994
3N1AB6AP4BL521146,Volvo,Lexus,2004
YV1672MC2AJ487729,Lamborghini,Kia,1990
YV426MDB1F2873826,BMW,GMC,2001
WAUHFAFL1AN262264,Dodge,GMC,2008
1FMJK1H56EE753720,Ford,Nissan,1983
1G4HP57296U440444,Aston Martin,Mercury,2008
3D4PH6FG2BT391921,Kia,Plymouth,2011
5TFCW5F12DX147488,Mitsubishi,GMC,1985
WAUWFBFL6AA663684,BMW,Jeep,2008
3FADP0L30BR943372,Chevrolet,Saab,2009
WBA3D3C53EF685400,Infiniti,Mercury,2004
1GYEC63T63R185963,Pontiac,Lincoln,1989
5FNYF3H29BB085885,Chevrolet,Pontiac,1997
JN1CV6FE4AM955076,Nissan,Mitsubishi,2004
WVWAN7AN0DE378577,Mercedes-Benz,Chevrolet,2006
1YVHZ8BH2A5983191,Buick,Volkswagen,1996
JM1BL1H32A1782513,Porsche,Bentley,2005
1C3BCBGG9CN245776,Kia,Land Rover,2009
WAUKFAFL5BN708908,Mercedes-Benz,Mercury,2006
WBAUN1C58CV780771,Ford,Honda,1998
1G6AS5SX0E0149623,Mercury,MINI,2007
1G6AH5S31E0903558,Volkswagen,GMC,2009
WAUKH68D91A877428,Mitsubishi,Land Rover,1993
WBASN2C50BC603428,Scion,Lincoln,2012
2HNYD2H39CH648139,Maybach,Mitsubishi,2011
WAUJC58E12A377794,Saab,Pontiac,2011
19UUA76627A602715,Infiniti,Dodge,2012
JM1DE1KY6D0641218,Pontiac,Toyota,1969
JH4CW2H57CC971652,Pontiac,Chevrolet,1988
5J8TB4H56GL245796,Dodge,Toyota,2009
1G6KD57Y58U921756,Mitsubishi,Plymouth,1995
JN1AZ4EH0EM066468,Pontiac,Mazda,1969
JTDZN3EU9E3253071,Suzuki,Buick,2012
WA1CM94L79D818089,BMW,Pontiac,2011
JM1NC2PF2F0495569,GMC,Pontiac,2004
2C3CA1CV2AH471348,Dodge,Dodge,1999
WAULT68E55A592954,Isuzu,Pontiac,2007
2HNYD18472H672814,BMW,Ford,2005
1GD020CG4DZ487655,Volkswagen,Jaguar,2006
WA1YD54B22N384606,Mazda,Mazda,2007
JM1NC2EF5A0153626,Dodge,Subaru,1993
WAUEH78E76A656235,Subaru,Dodge,2011
WAUPL68E64A593756,Volvo,Mercury,1994
WAUDV94F87N204237,Buick,Mercury,1988
1GYS3GKJ2FR762114,Ford,Pontiac,2001
19UUA8F39EA717305,Morgan,Maserati,2006
3GYT4LEF2CG656324,Pontiac,Pontiac,1967
1G6AT5S32F0610431,BMW,Toyota,1995
WA1YL54B45N340713,Oldsmobile,Ford,1993
1G6AL5S34D0983676,Volkswagen,Mercedes-Benz,1993
WAUSH98E06A016396,Ford,Ford,2011
2C4RDGCG5FR699931,Audi,GMC,2004
1N4AB7AP0EN036855,Pontiac,GMC,1962
1GKUKFDJ6AR664449,Dodge,Pontiac,2002
WDDGF4HB0DA497986,Nissan,Mazda,2011
1N6AA0CJ0DN600013,Chevrolet,Chrysler,1994
1GYS3FEJ4DR403480,Mercury,GMC,1988
1G6KH5E67BU342572,Lincoln,Subaru,1985
WA1C8BFP7FA763233,Ford,Oldsmobile,1992
JH4CU4F60DC844823,GMC,Scion,1996
2G4WS52J211595409,Volkswagen,Dodge,2011
5UMDU93416L947785,Toyota,Pontiac,2010
1N6AF0KX8FN628118,GMC,Honda,1999
3C6TD5ET9CG029943,Hummer,Lexus,2008
19UYA42682A372418,BMW,Mazda,1997
JH4KB16688C997617,Dodge,Mercury,2004
WAUUL78E18A096127,Chevrolet,Subaru,1995
WAUMFAFLXCA305850,Mitsubishi,Chevrolet,1993
1G6AH5R38F0418082,Chevrolet,Bentley,2002
JN1CV6EK1EM646162,Kia,Hummer,2005
5TFBY5F14AX948411,Dodge,Infiniti,1999
1N6AA0ED2FN936840,Cadillac,BMW,2007
WBANV93569C657140,Suzuki,Oldsmobile,1994
2G4GU5EV2C9924384,Mazda,Acura,1994
WVGAV7AX3BW029871,Chevrolet,Acura,2001
JTJHY7AX6E4619859,Chevrolet,Mercedes-Benz,2006
2HNYD2H66CH515624,Dodge,Dodge,2009
1FTEX1CM5CF739580,Mitsubishi,Mercury,1988
WBAGN63535D409701,Pontiac,Honda,1999
2G4GZ5GV9B9393732,Volkswagen,Lamborghini,2002
WBAPL3C55AA731109,Hyundai,Oldsmobile,2012
1GD21ZCG9CZ086391,Geo,Lamborghini,1995
JHMZF1C41BS024064,Mercedes-Benz,Honda,1997
1FAHP3FN2AW821947,Mitsubishi,Audi,1998
2HNYD2H35DH940551,Dodge,Dodge,2005
WVWGU7AN7AE312147,Geo,Chevrolet,1992
1D4RE3GG4BC402850,Mitsubishi,Infiniti,2001
ZFBCFABH2FZ212734,Suzuki,Mercury,1990
WAUGU44D23N066657,Ford,GMC,2013
WBAWB33548P816674,Ford,GMC,1970
KNDPB3A24C7304650,GMC,Volvo,2001
1G6DV1EP4F0704616,Chevrolet,Hyundai,1999
WBAKG7C5XCE127945,Ford,Audi,1972
JTDKDTB3XD1451667,Mitsubishi,Ford,2002
19UUA9F51DA406845,Dodge,Toyota,2001
4JGCB2FE7CA947245,Mitsubishi,Lexus,1990
WAULV44E67N141354,Volkswagen,Volkswagen,1993
WAUJT58E84A139086,Hyundai,Pontiac,2001
1N6AA0CA9AN746793,GMC,Toyota,1993
5GALVAEDXAJ190760,Mercedes-Benz,Hyundai,2008
JTHBE1D22F5851416,Mercedes-Benz,Chevrolet,1993
3FAHP0CG0BR274735,Dodge,Subaru,1996
5XXGM4A76CG245135,Maserati,Toyota,1985
WVWGU7AN1CE102713,Maserati,Ford,2005
JTHKD5BH1C2060633,Mercedes-Benz,Toyota,1999
4T3BA3BB1CU610754,Maserati,Isuzu,2006
WAUML44D33N562718,Dodge,Ford,2002
4T1BF3EK3AU994507,Saturn,Volkswagen,2004
JTEBU5JR6E5270282,Mazda,Mercury,1998
WAUXL58E14A309959,BMW,Chevrolet,2008
1N6AA0CC9AN038903,Mercedes-Benz,Nissan,1992
WAUBC48H05K428872,Ford,Dodge,1994
2C3CA2CV3AH895577,Volkswagen,Plymouth,2002
4A31K2DF5AE234953,Pontiac,Chevrolet,2002
5BZAF0AA8EN230552,Suzuki,Volvo,2011
2LMDJ6JK9EB972882,Mercedes-Benz,MINI,1996
WVWBB7AJ1DW771704,Volvo,Mitsubishi,2003
YV126MFCXF2189344,Oldsmobile,Mercedes-Benz,1992
4USBT33584L165995,Oldsmobile,Buick,1996
1GTN1TEH7EZ677875,Chevrolet,GMC,1993
JTDKDTB3XF1074213,Nissan,Corbin,2009
YV1672MK2C2318346,Audi,GMC,1992
1N6AA0CJ3EN981812,Chevrolet,Hyundai,2002
SALGR2VF0EA753468,Plymouth,Toyota,1992
